,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
516,1610612766,2024,00,Miles Bridges,Miles,miles-bridges,0,F,6-7,225,"MAR 21, 1998",27.0,5,Michigan State,1628970,Draft Rights Traded from LAC on 06/21/18
517,1610612766,2024,00,LaMelo Ball,LaMelo,lamelo-ball,1,G,6-7,180,"AUG 22, 2001",23.0,4,Illawarra,1630163,#3 Pick in 2020 Draft
518,1610612766,2024,00,Grant Williams,Grant,grant-williams,2,F,6-6,236,"NOV 30, 1998",26.0,5,Tennessee,1629684,Traded from DAL on 02/08/24
519,1610612766,2024,00,DaQuan Jeffries,DaQuan,daquan-jeffries,3,G-F,6-5,222,"AUG 30, 1997",27.0,5,Tulsa,1629610,
520,1610612766,2024,00,Mark Williams,Mark,mark-williams,5,C,7-0,240,"DEC 16, 2001",23.0,2,Duke,1631109,
521,1610612766,2024,00,Damion Baugh,Damion,damion-baugh,7,G,6-4,194,"AUG 03, 2000",24.0,R,TCU,1641878,
522,1610612766,2024,00,Nick Smith Jr.,Nick,nick-smith-jr,8,G,6-2,185,"APR 18, 2004",21.0,1,Arkansas,1641733,
523,1610612766,2024,00,Wendell Moore Jr.,Wendell,wendell-moore-jr,9,G,6-5,215,"SEP 18, 2001",23.0,2,Duke,1631111,
524,1610612766,2024,00,Josh Green,Josh,josh-green,10,G,6-5,200,"NOV 16, 2000",24.0,4,Arizona,1630182,Traded from DAL on 07/06/24
525,1610612766,2024,00,Jusuf Nurkić,Jusuf,jusuf-nurkić,11,C,7-0,290,"AUG 23, 1994",30.0,10,Cedevita,203994,
526,1610612766,2024,00,Josh Okogie,Josh,josh-okogie,12,G,6-4,213,"SEP 01, 1998",26.0,6,Georgia Tech,1629006,
527,1610612766,2024,00,Moussa Diabaté,Moussa,moussa-diabaté,14,F,6-9,210,"JAN 21, 2002",23.0,2,Michigan,1631217,Signed on 07/31/24
528,1610612766,2024,00,Tre Mann,Tre,tre-mann,23,G,6-3,178,"FEB 03, 2001",24.0,3,Florida,1630544,Traded from OKC on 02/08/24
529,1610612766,2024,00,Brandon Miller,Brandon,brandon-miller,24,F,6-7,200,"NOV 22, 2002",22.0,1,Alabama,1641706,#2 Pick in 2023 Draft
530,1610612766,2024,00,KJ Simpson,KJ,kj-simpson,25,G,6-0,189,"AUG 08, 2002",22.0,R,Colorado,1642354,#42 Pick in 2024 Draft
531,1610612766,2024,00,Seth Curry,Seth,seth-curry,30,G,6-1,185,"AUG 23, 1990",34.0,11,Duke,203552,
532,1610612766,2024,00,Tidjane Salaün,Tidjane,tidjane-salaün,31,F,6-8,207,"AUG 10, 2005",19.0,R,Cholet,1642275,#6 Pick in 2024 Draft
533,1610612766,2024,00,Taj Gibson,Taj,taj-gibson,67,F,6-9,232,"JUN 24, 1985",40.0,15,Southern California,201959,
